,date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes_on_plant_char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,end_time,thermocoupler_height,hotplate_height,notes_on_flam_data,Species,end_ct,glow_start_ct,glow_end_ct,maxflameht_ct,firstigstart_ct,secondigstart_ct,firstigend_ct,secondigend_ct
32,2022-08-25,ARTCAL,8.0,2.0,RD,yes,25.0,1.0,0.5,17.43,0.0,0.15,,2023-06-19 12:58:34,2023-06-19 00:00:34,32.9,38.0,1.0,2023-06-19 00:00:50,0,,,,,,,,,2023-06-19 00:04:11,2023-06-19 00:04:11,19.0,15.0,,ARTCAL,2023-06-19 13:02:11,2023-06-19 12:58:50,2023-06-19 13:02:11,,,,,
33,2022-08-25,ARTCAL,8.0,3.0,RD,yes,25.0,6.8,5.6,18.81,10.0,0.13999999999999999,,2023-06-19 13:03:23,2023-06-19 00:00:43,32.6,38.0,1.0,2023-06-19 00:00:44,0,,,,,,,,,2023-06-19 00:07:53,2023-06-19 00:07:53,19.0,15.0,,ARTCAL,2023-06-19 13:10:33,2023-06-19 13:03:24,2023-06-19 13:10:33,,,,,
34,2022-08-25,ARTCAL,8.0,4.0,RD,yes,25.0,2.5,1.4,17.99,1.0,0.16,,2023-06-19 13:14:15,2023-06-19 00:00:48,32.1,39.0,1.0,2023-06-19 00:01:00,0,,,,,,,,,2023-06-19 00:02:55,2023-06-19 00:02:55,19.0,15.0,,ARTCAL,2023-06-19 13:16:22,2023-06-19 13:14:27,2023-06-19 13:16:22,,,,,
35,2022-08-25,ARTCAL,8.0,5.0,RD,yes,24.8,2.3,1.2,18.12,2.0,0.24,very small subranches- ~1cm,2023-06-19 13:20:20,2023-06-19 00:00:30,32.0,39.0,1.0,2023-06-19 00:01:08,0,,,,,,,,,2023-06-19 00:08:22,2023-06-19 00:08:22,19.0,15.0,,ARTCAL,2023-06-19 13:28:12,2023-06-19 13:20:58,2023-06-19 13:28:12,,,,,
36,2022-08-25,ARTCAL,8.0,6.0,RD,yes,25.0,5.0,2.2,18.12,2.0,0.155,,2023-06-19 13:30:06,2023-06-19 00:00:22,31.7,41.0,1.0,2023-06-19 00:00:37,0,,,,,,,,,2023-06-19 00:05:05,2023-06-19 00:05:05,19.0,15.0,,ARTCAL,2023-06-19 13:34:49,2023-06-19 13:30:21,2023-06-19 13:34:49,,,,,
37,2022-08-25,ARTCAL,8.0,8.0,RD,yes,25.0,3.6,1.6,17.91,3.0,0.2,,2023-06-19 13:45:00,2023-06-19 00:00:14,31.4,40.0,1.0,2023-06-19 00:00:40,0,,,,,,,,,2023-06-19 00:05:25,2023-06-19 00:05:25,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 13:50:11,2023-06-19 13:45:26,2023-06-19 13:50:11,,,,,
38,2022-08-25,ARTCAL,8.0,9.0,RD,yes,25.0,8.2,2.5,18.41,2.0,0.24500000000000002,,2023-06-19 13:51:32,2023-06-19 00:00:45,31.6,40.0,1.0,2023-06-19 00:01:15,0,,,,,,,,,2023-06-19 00:07:10,2023-06-19 00:07:10,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 13:57:57,2023-06-19 13:52:02,2023-06-19 13:57:57,,,,,
39,2022-08-25,ARTCAL,8.0,10.0,RD,yes,25.0,1.5,0.9,17.67,0.0,0.155,,2023-06-19 13:59:09,2023-06-19 00:00:14,31.6,40.0,1.0,2023-06-19 00:00:33,0,,,,,,,,,2023-06-19 00:07:00,2023-06-19 00:07:00,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:05:55,2023-06-19 13:59:28,2023-06-19 14:05:55,,,,,
40,2022-08-25,ARTCAL,9.0,1.0,RD,yes,25.0,1.7,1.0,17.65,0.0,0.13,,2023-06-19 14:07:15,2023-06-19 00:00:23,32.0,39.0,1.0,2023-06-19 00:01:43,0,,,,,,,,,2023-06-19 00:07:35,2023-06-19 00:07:35,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:14:27,2023-06-19 14:08:35,2023-06-19 14:14:27,,,,,
41,2022-08-25,ARTCAL,9.0,2.0,RD,yes,25.0,1.5,1.3,17.83,0.0,0.145,,2023-06-19 14:15:37,2023-06-19 00:00:43,32.1,38.0,1.0,2023-06-19 00:01:01,0,,,,,,,,,2023-06-19 00:05:03,2023-06-19 00:05:03,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:19:57,2023-06-19 14:15:55,2023-06-19 14:19:57,,,,,
42,2022-08-25,ARTCAL,9.0,3.0,RD,yes,25.0,2.8,1.5,17.87,0.0,0.12,,2023-06-19 14:21:08,2023-06-19 00:00:41,32.0,38.0,1.0,2023-06-19 00:01:06,0,,,,,,,,,2023-06-19 00:02:25,2023-06-19 00:02:25,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:22:52,2023-06-19 14:21:33,2023-06-19 14:22:52,,,,,
43,2022-08-25,ARTCAL,9.0,4.0,RD,yes,25.0,2.6,1.3,17.87,1.0,0.16,,2023-06-19 14:24:05,2023-06-19 00:00:38,31.7,39.0,1.0,2023-06-19 00:01:00,0,,,,,,,,,2023-06-19 00:06:30,2023-06-19 00:06:30,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:29:57,2023-06-19 14:24:27,2023-06-19 14:29:57,,,,,
44,2022-08-25,ARTCAL,9.0,5.0,RD,yes,25.0,7.5,3.1,18.18,3.0,0.16,,2023-06-19 14:31:14,2023-06-19 00:00:37,31.4,39.0,1.0,2023-06-19 00:00:47,0,,,,,,,,,2023-06-19 00:05:24,2023-06-19 00:05:24,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:36:01,2023-06-19 14:31:24,2023-06-19 14:36:01,,,,,
45,2022-08-25,ARTCAL,9.0,6.0,RD,yes,25.0,2.0,1.7,17.82,0.0,0.18,,2023-06-19 14:37:05,2023-06-19 00:00:40,31.8,39.0,1.0,2023-06-19 00:01:09,0,,,,,,,,,2023-06-19 00:03:27,2023-06-19 00:03:27,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:39:52,2023-06-19 14:37:34,2023-06-19 14:39:52,,,,,
46,2022-08-25,ARTCAL,9.0,7.0,RD,yes,24.5,2.3,1.1,17.61,1.0,0.15,,2023-06-19 14:41:00,2023-06-19 00:00:37,32.0,38.0,1.0,2023-06-19 00:01:18,0,,,,,,,,,2023-06-19 00:03:53,2023-06-19 00:03:53,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:44:16,2023-06-19 14:41:41,2023-06-19 14:44:16,,,,,
47,2022-08-25,ARTCAL,9.0,8.0,RD,yes,25.0,3.5,2.0,18.19,1.0,0.13,,2023-06-19 14:45:13,2023-06-19 00:00:29,32.0,36.0,1.0,2023-06-19 00:00:39,0,,,,,,,,,2023-06-19 00:07:06,2023-06-19 00:07:06,19.0,15.0,glow ipad unusable; glow metrics garnered from lower ipad,ARTCAL,2023-06-19 14:51:50,2023-06-19 14:45:23,2023-06-19 14:51:50,,,,,
48,2022-08-30,ARTCAL,10.0,1.0,AC,yes,25.0,2.2,2.1,17.58,0.0,0.27999999999999997,,2023-06-19 09:56:37,2023-06-19 00:00:10,25.5,52.0,1.0,2023-06-19 00:01:32,M,2023-06-19 00:07:34,2023-06-19 00:07:45,,,,,2023-06-19 00:07:41,11.0,2023-06-19 00:08:05,2023-06-19 00:08:05,19.0,15.0,,ARTCAL,2023-06-19 10:04:32,2023-06-19 09:57:59,2023-06-19 10:04:32,2023-06-19 10:04:08,2023-06-19 10:04:01,,2023-06-19 10:04:12,
49,2022-08-30,ARTCAL,10.0,2.0,AC,yes,25.0,2.7,1.6,17.52,0.0,0.19,,2023-06-19 10:06:42,2023-06-19 00:00:19,26.0,51.0,1.0,2023-06-19 00:00:42,M,2023-06-19 00:05:52,2023-06-19 00:06:05,,,,,2023-06-19 00:05:55,6.0,2023-06-19 00:10:05,2023-06-19 00:10:05,19.0,15.0,,ARTCAL,2023-06-19 10:16:28,2023-06-19 10:07:05,2023-06-19 10:16:28,2023-06-19 10:12:18,2023-06-19 10:12:15,,2023-06-19 10:12:28,
50,2022-08-30,ARTCAL,10.0,3.0,AC,yes,23.0,7.0,2.4,17.99,2.0,0.16999999999999998,,2023-06-19 10:18:02,2023-06-19 00:00:09,27.0,47.0,0.0,,1,2023-06-19 00:01:38,2023-06-19 00:01:47,,,,,2023-06-19 00:01:38,27.0,2023-06-19 00:07:50,2023-06-19 00:07:50,19.0,15.0,,ARTCAL,2023-06-19 10:25:43,,2023-06-19 10:25:43,2023-06-19 10:19:31,2023-06-19 10:19:31,,2023-06-19 10:19:40,
51,2022-08-30,ARTCAL,10.0,4.0,AC,yes,25.0,2.8,1.5,17.6,1.0,0.22999999999999998,,2023-06-19 10:27:42,2023-06-19 00:00:09,27.5,42.0,1.0,2023-06-19 00:00:33,0,,,,,,,,,2023-06-19 00:08:04,2023-06-19 00:08:04,19.0,15.0,,ARTCAL,2023-06-19 10:35:37,2023-06-19 10:28:06,2023-06-19 10:35:37,,,,,
52,2022-08-30,ARTCAL,10.0,5.0,AC,yes,25.0,4.8,2.0,17.63,5.0,0.19,,2023-06-19 10:36:56,2023-06-19 00:00:10,28.4,42.0,1.0,2023-06-19 00:00:55,0,,,,,,,,,2023-06-19 00:05:11,2023-06-19 00:05:11,19.0,15.0,,ARTCAL,2023-06-19 10:41:57,2023-06-19 10:37:41,2023-06-19 10:41:57,,,,,
53,2022-08-30,ARTCAL,10.0,6.0,AC,yes,25.0,5.0,3.0,18.13,8.0,0.16999999999999998,,2023-06-19 10:43:31,2023-06-19 00:00:12,34.0,40.0,0.0,,1,2023-06-19 00:00:43,2023-06-19 00:00:45,,,,,2023-06-19 00:00:44,22.0,2023-06-19 00:10:15,2023-06-19 00:10:15,19.0,15.0,,ARTCAL,2023-06-19 10:53:34,,2023-06-19 10:53:34,2023-06-19 10:44:03,2023-06-19 10:44:02,,2023-06-19 10:44:04,
54,2022-08-30,ARTCAL,10.0,7.0,AC,yes,25.0,9.0,3.5,18.08,2.0,0.19,,2023-06-19 10:55:00,2023-06-19 00:00:08,34.0,41.0,1.0,2023-06-19 00:00:27,0,,,,,,,,,2023-06-19 00:13:26,2023-06-19 00:13:26,19.0,15.0,,ARTCAL,2023-06-19 11:08:18,2023-06-19 10:55:19,2023-06-19 11:08:18,,,,,
