Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
115,2023/03/08 14:41:07,0,+  50.6,+  47.8,+ 144.0,+ 121.4,+  54.2,+  46.8,+ 0.336,+ 0.108,LLLLLLLLLL,LLLL
116,2023/03/08 14:41:07,500,+  50.7,+  47.8,+ 144.1,+ 121.4,+  54.2,+  46.8,+ 0.174,+ 0.109,LLLLLLLLLL,LLLL
117,2023/03/08 14:41:08,0,+  50.7,+  47.8,+ 144.1,+ 121.5,+  54.2,+  46.8,+ 0.281,+ 0.106,LLLLLLLLLL,LLLL
118,2023/03/08 14:41:08,500,+  50.7,+  47.9,+ 144.1,+ 121.6,+  54.2,+  46.8,+ 0.313,+ 0.103,LLLLLLLLLL,LLLL
119,2023/03/08 14:41:09,0,+  50.7,+  47.9,+ 144.1,+ 121.7,+  54.3,+  46.8,+ 0.388,+ 0.105,LLLLLLLLLL,LLLL
120,2023/03/08 14:41:09,500,+  50.8,+  47.9,+ 144.1,+ 121.7,+  54.2,+  46.8,+ 0.288,+ 0.109,LLLLLLLLLL,LLLL
121,2023/03/08 14:41:10,0,+  50.8,+  47.9,+ 144.1,+ 121.8,+  54.2,+  46.7,+ 0.271,+ 0.100,LLLLLLLLLL,LLLL
122,2023/03/08 14:41:10,500,+  50.8,+  48.0,+ 144.1,+ 121.9,+  54.3,+  46.7,+ 0.326,+ 0.101,LLLLLLLLLL,LLLL
123,2023/03/08 14:41:11,0,+  50.8,+  48.0,+ 144.1,+ 122.0,+  54.3,+  46.8,+ 0.295,+ 0.108,LLLLLLLLLL,LLLL
124,2023/03/08 14:41:11,500,+  50.8,+  48.0,+ 144.1,+ 122.1,+  54.3,+  46.8,+ 0.390,+ 0.112,LLLLLLLLLL,LLLL
125,2023/03/08 14:41:12,0,+  50.8,+  48.1,+ 144.1,+ 122.1,+  54.3,+  46.8,+ 0.457,+ 0.103,LLLLLLLLLL,LLLL
126,2023/03/08 14:41:12,500,+  50.9,+  48.1,+ 144.2,+ 122.2,+  54.3,+  46.8,+ 0.269,+ 0.111,LLLLLLLLLL,LLLL
127,2023/03/08 14:41:13,0,+  50.9,+  48.1,+ 144.2,+ 122.3,+  54.4,+  46.8,+ 0.152,+ 0.102,LLLLLLLLLL,LLLL
128,2023/03/08 14:41:13,500,+  50.9,+  48.1,+ 144.3,+ 122.4,+  54.4,+  46.8,+ 0.226,+ 0.104,LLLLLLLLLL,LLLL
129,2023/03/08 14:41:14,0,+  50.9,+  48.1,+ 144.4,+ 122.5,+  54.4,+  46.9,+ 0.312,+ 0.106,LLLLLLLLLL,LLLL
130,2023/03/08 14:41:14,500,+  50.9,+  48.1,+ 144.4,+ 122.7,+  54.5,+  46.9,+ 0.353,+ 0.106,LLLLLLLLLL,LLLL
131,2023/03/08 14:41:15,0,+  50.9,+  48.2,+ 144.6,+ 122.7,+  54.5,+  46.9,+ 0.374,+ 0.105,LLLLLLLLLL,LLLL
132,2023/03/08 14:41:15,500,+  50.9,+  48.2,+ 144.7,+ 122.8,+  54.5,+  46.9,+ 0.288,+ 0.108,LLLLLLLLLL,LLLL
133,2023/03/08 14:41:16,0,+  50.9,+  48.1,+ 144.7,+ 123.0,+  54.5,+  46.9,+ 0.300,+ 0.109,LLLLLLLLLL,LLLL
134,2023/03/08 14:41:16,500,+  50.9,+  48.2,+ 144.8,+ 123.1,+  54.5,+  46.9,+ 0.286,+ 0.106,LLLLLLLLLL,LLLL
