Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
119,2023/03/08 11:43:39,0,+  57.8,+  48.4,+ 161.1,+ 125.1,+ 118.9,+ 101.8,+ 0.389,+ 0.138,LLLLLLLLLL,LLLL
120,2023/03/08 11:43:39,500,+  57.9,+  48.5,+ 161.2,+ 125.3,+ 119.0,+ 102.1,+ 0.360,+ 0.142,LLLLLLLLLL,LLLL
121,2023/03/08 11:43:40,0,+  58.0,+  48.5,+ 161.4,+ 125.4,+ 119.1,+ 102.2,+ 0.456,+ 0.152,LLLLLLLLLL,LLLL
122,2023/03/08 11:43:40,500,+  58.0,+  48.6,+ 161.5,+ 125.5,+ 119.1,+ 102.3,+ 0.481,+ 0.153,LLLLLLLLLL,LLLL
123,2023/03/08 11:43:41,0,+  58.1,+  48.6,+ 161.7,+ 125.7,+ 119.2,+ 102.3,+ 0.463,+ 0.158,LLLLLLLLLL,LLLL
124,2023/03/08 11:43:41,500,+  58.2,+  48.7,+ 161.8,+ 125.8,+ 119.2,+ 102.4,+ 0.464,+ 0.148,LLLLLLLLLL,LLLL
125,2023/03/08 11:43:42,0,+  58.3,+  48.7,+ 162.0,+ 126.0,+ 119.2,+ 102.5,+ 0.404,+ 0.145,LLLLLLLLLL,LLLL
126,2023/03/08 11:43:42,500,+  58.3,+  48.7,+ 162.2,+ 126.1,+ 119.2,+ 102.6,+ 0.389,+ 0.147,LLLLLLLLLL,LLLL
127,2023/03/08 11:43:43,0,+  58.4,+  48.8,+ 162.2,+ 126.2,+ 119.2,+ 102.6,+ 0.388,+ 0.153,LLLLLLLLLL,LLLL
128,2023/03/08 11:43:43,500,+  58.5,+  48.9,+ 162.4,+ 126.4,+ 119.3,+ 102.6,+ 0.353,+ 0.154,LLLLLLLLLL,LLLL
129,2023/03/08 11:43:44,0,+  58.6,+  48.9,+ 162.6,+ 126.5,+ 119.3,+ 102.7,+ 0.455,+ 0.158,LLLLLLLLLL,LLLL
130,2023/03/08 11:43:44,500,+  58.6,+  49.0,+ 162.7,+ 126.7,+ 119.3,+ 102.8,+ 0.390,+ 0.147,LLLLLLLLLL,LLLL
131,2023/03/08 11:43:45,0,+  58.6,+  49.0,+ 162.9,+ 126.9,+ 119.3,+ 102.9,+ 0.360,+ 0.143,LLLLLLLLLL,LLLL
132,2023/03/08 11:43:45,500,+  58.7,+  49.1,+ 163.0,+ 127.0,+ 119.3,+ 102.9,+ 0.457,+ 0.154,LLLLLLLLLL,LLLL
133,2023/03/08 11:43:46,0,+  58.8,+  49.1,+ 163.2,+ 127.1,+ 119.4,+ 103.0,+ 0.374,+ 0.152,LLLLLLLLLL,LLLL
134,2023/03/08 11:43:46,500,+  58.8,+  49.2,+ 163.3,+ 127.3,+ 119.6,+ 103.0,+ 0.408,+ 0.157,LLLLLLLLLL,LLLL
135,2023/03/08 11:43:47,0,+  58.9,+  49.2,+ 163.3,+ 127.5,+ 119.7,+ 103.1,+ 0.365,+ 0.157,LLLLLLLLLL,LLLL
136,2023/03/08 11:43:47,500,+  59.0,+  49.2,+ 163.5,+ 127.7,+ 120.0,+ 103.3,+ 0.307,+ 0.159,LLLLLLLLLL,LLLL
137,2023/03/08 11:43:48,0,+  59.0,+  49.2,+ 163.6,+ 127.8,+ 120.2,+ 103.4,+ 0.300,+ 0.158,LLLLLLLLLL,LLLL
138,2023/03/08 11:43:48,500,+  59.1,+  49.3,+ 163.7,+ 128.0,+ 120.5,+ 103.4,+ 0.216,+ 0.156,LLLLLLLLLL,LLLL
139,2023/03/08 11:43:49,0,+  59.1,+  49.4,+ 163.7,+ 128.2,+ 120.7,+ 103.5,+ 0.278,+ 0.160,LLLLLLLLLL,LLLL
140,2023/03/08 11:43:49,500,+  59.2,+  49.5,+ 163.7,+ 128.3,+ 121.0,+ 103.5,+ 0.380,+ 0.165,LLLLLLLLLL,LLLL
141,2023/03/08 11:43:50,0,+  59.3,+  49.5,+ 163.7,+ 128.6,+ 121.3,+ 103.6,+ 0.354,+ 0.175,LLLLLLLLLL,LLLL
142,2023/03/08 11:43:50,500,+  59.4,+  49.5,+ 163.8,+ 128.7,+ 121.6,+ 103.8,+ 0.288,+ 0.157,LLLLLLLLLL,LLLL
143,2023/03/08 11:43:51,0,+  59.4,+  49.5,+ 163.9,+ 128.9,+ 121.9,+ 104.1,+ 0.384,+ 0.148,LLLLLLLLLL,LLLL
144,2023/03/08 11:43:51,500,+  59.5,+  49.5,+ 164.0,+ 129.1,+ 122.1,+ 104.4,+ 0.303,+ 0.147,LLLLLLLLLL,LLLL
145,2023/03/08 11:43:52,0,+  59.6,+  49.6,+ 164.2,+ 129.4,+ 122.2,+ 104.6,+ 0.437,+ 0.152,LLLLLLLLLL,LLLL
146,2023/03/08 11:43:52,500,+  59.7,+  49.6,+ 164.2,+ 129.6,+ 122.3,+ 104.8,+ 0.416,+ 0.149,LLLLLLLLLL,LLLL
147,2023/03/08 11:43:53,0,+  59.8,+  49.7,+ 164.2,+ 129.7,+ 122.4,+ 105.1,+ 0.415,+ 0.148,LLLLLLLLLL,LLLL
148,2023/03/08 11:43:53,500,+  59.8,+  49.8,+ 164.3,+ 129.9,+ 122.4,+ 105.2,+ 0.511,+ 0.148,LLLLLLLLLL,LLLL
149,2023/03/08 11:43:54,0,+  60.0,+  49.8,+ 164.3,+ 130.0,+ 122.4,+ 105.4,+ 0.438,+ 0.148,LLLLLLLLLL,LLLL
150,2023/03/08 11:43:54,500,+  60.1,+  49.9,+ 164.4,+ 130.2,+ 122.2,+ 105.4,+ 0.413,+ 0.148,LLLLLLLLLL,LLLL
151,2023/03/08 11:43:55,0,+  60.1,+  49.9,+ 164.5,+ 130.3,+ 122.2,+ 105.4,+ 0.502,+ 0.149,LLLLLLLLLL,LLLL
152,2023/03/08 11:43:55,500,+  60.3,+  49.9,+ 164.6,+ 130.5,+ 122.2,+ 105.4,+ 0.509,+ 0.151,LLLLLLLLLL,LLLL
153,2023/03/08 11:43:56,0,+  60.4,+  49.9,+ 164.7,+ 130.6,+ 122.1,+ 105.4,+ 0.475,+ 0.148,LLLLLLLLLL,LLLL
154,2023/03/08 11:43:56,500,+  60.5,+  50.0,+ 164.7,+ 130.8,+ 122.1,+ 105.4,+ 0.337,+ 0.143,LLLLLLLLLL,LLLL
155,2023/03/08 11:43:57,0,+  60.5,+  50.1,+ 164.8,+ 131.0,+ 122.1,+ 105.3,+ 0.403,+ 0.147,LLLLLLLLLL,LLLL
156,2023/03/08 11:43:57,500,+  60.6,+  50.1,+ 164.9,+ 131.0,+ 122.0,+ 105.4,+ 0.422,+ 0.154,LLLLLLLLLL,LLLL
157,2023/03/08 11:43:58,0,+  60.7,+  50.2,+ 165.0,+ 131.2,+ 122.1,+ 105.6,+ 0.363,+ 0.159,LLLLLLLLLL,LLLL
158,2023/03/08 11:43:58,500,+  60.8,+  50.2,+ 165.1,+ 131.3,+ 122.2,+ 105.8,+ 0.267,+ 0.151,LLLLLLLLLL,LLLL
159,2023/03/08 11:43:59,0,+  60.8,+  50.2,+ 165.1,+ 131.4,+ 122.4,+ 106.0,+ 0.332,+ 0.146,LLLLLLLLLL,LLLL
