"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA"
"27","HETARB",1,2022-07-19,24.302,23.548,0.507878787878788,0.492121212121212,87.6739292744178,0.376,2.765,1.4733,76.8231768231763,2.995,0.708,0.400400000000001,6.72252305428438,85.355179591183,0.532839059674503,0.565536723163843,2.32611012658228,13.937270971,5.31914893617021,0.105709360395272,9.45990020430325
"28","HETARB",10,2022-08-31,19.002,24.53,0.4365064779932,0.5634935220068,146.49435306602,0.482,3.252,1.3193,82.957619477006,3.895,2.029,1.109,5.33554922942028,117.477247457069,0.405688806888068,0.546574667323806,3.6893209102091,NA,NA,0.0975916553462494,10.4100592551105
"29","HETARB",11,2022-08-31,17.689,21.255,0.454216310599836,0.545783689400164,99.2538344617931,0.406,1.442,0.723700000000001,74.3654822335036,2.82,0.687000000000001,0.393999999999998,7.38744752359352,90.4804509260089,0.501872399445216,0.573508005822413,1.68393162274619,NA,NA,0.0975916553462494,10.4100592551105
"30","HETARB",12,2022-08-31,18.04,20.784,0.464661034411704,0.535338965588296,111.429402355678,0.396,1.454,0.6877,90.2286902286899,2.72,1.098,0.577200000000001,7.54702481072945,101.755079452921,0.472971114167813,0.52568306010929,2.18267386519945,NA,NA,0.0975916553462494,10.4100592551105
"31","HETARB",2,2022-07-19,21.904,21.167,0.508555640686309,0.491444359313691,93.391642371234,0.364,2.786,1.4406,93.3491686460811,3.26,0.407,0.2105,6.17480495765032,93.3862273635756,0.517085427135679,0.517199017199016,1.92315635319455,14.273442095,5.49450549450549,0.100928703140544,9.90798423920588
"32","HETARB",3,2022-07-19,22.874,21.94,0.510420850627036,0.489579149372964,92.8831766736999,0.316,2.011,1.0426,103.316749585406,2.4525,0.613,0.301500000000001,8.29340102931695,95.2235696748749,0.518448533068127,0.491843393148452,1.80552541024366,11.42650824,6.32911392405063,0.0912439721830542,10.9596280836371
"33","HETARB",4,2022-07-19,25.283,23.399,0.519350067786862,0.480649932213138,103.642108764344,0.32,2.449,1.2026,108.155454143972,3.415,1.414,0.6793,6.09330037535659,105.271268398959,0.491057574520211,0.48041018387553,2.89397852184565,12.8622522784,6.25,0.0934983993448459,10.6953702630967
"34","HETARB",5,2022-07-19,27.077,25.455,0.515438209091601,0.484561790908399,115.141955835962,0.324,2.728,1.268,114.439192092824,3.08,0.997999999999999,0.465399999999999,6.59442890988624,114.953271028037,0.464809384164223,0.466332665330661,2.43660117302053,14.706794414,6.17283950617284,0.086218652706054,11.598418307571
"35","HETARB",6,2022-07-19,27.537,25.756,0.516709511568123,0.483290488431877,87.5584658559405,0.374,3.20800000000001,1.7104,97.0645370170512,2.925,0.912999999999998,0.4633,7.05042515065573,89.5845792887705,0.533167082294263,0.507447973713035,2.76782019950125,15.272470468,5.3475935828877,0.111992359296668,8.92918058231993
"36","HETARB",7,2022-07-20,23.496,22.179,0.514417077175698,0.485582922824302,94.6876391155959,0.406,2.624,1.3478,106.627680311891,2.85,0.848000000000001,0.410400000000001,7.21699294137705,97.4746900238881,0.513643292682927,0.483962264150944,2.35220243902439,13.475545516,4.92610837438424,0.100018214357238,9.99817889597864
