"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change"
"44","CEAGRI","1",0.166666666666667,1.22131631555601,0.472814225424383,-0.408399686070696,0.285127029048607,0.285045242953434,0.222737820292381,0.274710731896582,0.0761516000599238
"45","CEAGRI","1",0.166666666666667,1.22131631555601,1.04713237296039,-0.642010707874492,-0.423066506450988,0.461612762820455,0.962745422672596,0.123079620011886,-0.385850599330182
"46","CEAGRI","1",0.166666666666667,1.06604115573439,0.664253607936386,-0.822224924694562,-0.246180358679195,0.406815252425925,0.674154026979822,-0.0104830458597474,-0.0688666194076848
"47","CEAGRI","M",0.166666666666667,0.367302936537105,0.0899354604003759,-0.975740739022771,-3.2033632109102,-0.202175940098621,0.184053723895011,-0.12232951370974,-2.90091354389243
"48","CEAGRI","M",0.166666666666667,0.134390196804676,-0.22913017711963,-0.568590101021869,0.174503661901238,-0.38040571473994,-0.180782481261516,-1.47851848129525,-0.505117894266074
"49","CEAGRI","M",0.166666666666667,-0.253797702749372,0.791879862944388,-0.55524089977594,-0.0258924090244706,-0.688601699216111,0.915291289726396,-1.42802921036222,-0.593979768722291
"50","CEAGRI","M",0.166666666666667,0.600215676269533,0.855692990448389,0.425925391800003,-0.775935957043195,0.0766401642895404,0.895801984131929,-0.488079337585377,-1.4677990713596
"51","ERIKAR","M",0.0408163265306122,-0.797260762125038,-0.739635197151639,0.118893763143586,-1.4976713958689,-1.24029082512912,-0.491727826398294,0.353255155101168,-1.4223974140239
"52","ERIKAR","1",0.0408163265306122,-0.952535921946657,-0.80344832465564,-0.548566299152973,-1.29407961256887,-1.41702723045943,-0.575680003662364,-0.324169316135834,-1.24872943953276
"53","ERIKAR","M",0.0408163265306122,-1.18544866167909,-0.867261452159641,-1.01578834276056,-1.38056007969661,-1.60311543453652,-0.595553386235306,-0.769650831146096,-1.26992159653201
"54","ERIKAR","1",0.0408163265306122,-1.2630862415899,-0.867261452159641,-0.0613204536764857,-1.52034974106335,-1.70026323763706,-0.613861613289914,0.175758504355763,-1.43691472045228
"55","ERIKAR","M",0.0408163265306122,-1.34072382150071,-0.739635197151639,-0.67538371098932,-1.73036628164262,-1.78472939566427,-0.492643237751025,-0.441475246710849,-1.65645247292529
"56","ERIKAR","M",0.0408163265306122,-0.4867104424818,-0.484382687135634,0.0588223575368957,-0.0779127537622504,-0.97235529876374,-0.279499649960619,0.25536683425772,-0.726216042118689
"57","ERIKAR","M",0.0408163265306122,-0.797260762125038,-0.931074579663642,-0.708756714104148,-0.253298826067462,-1.27217499565263,-0.716122017608593,-0.507230032913102,-0.886640210019456
"58","ERIKAR","M",0.0408163265306122,-0.331435282660181,-0.931074579663642,-0.575264701644836,-0.364258502872178,-0.821957694739552,-0.730768599252279,-0.380984863319567,-1.019362656867
"59","ERIKAR","M",0.0408163265306122,-0.409072862570991,-0.80344832465564,-0.628661506628561,-0.313230903609803,-0.899595274650362,-0.603142344244277,-0.434381668303292,-0.968335057604625
"60","ERIKAR","M",0.0408163265306122,-1.2630862415899,-0.867261452159641,-0.735455116596011,-0.818213582249947,-1.69298777478065,-0.629423606286331,-0.708959131825909,-1.48494046881103
"61","ERIKAR","M",0.0408163265306122,-0.797260762125038,-0.80344832465564,-1.26274856581029,-0.835541424663115,-1.22326025067785,-0.561948833371408,-1.23444087032375,-1.49682761871349
"62","ERIKAR","M",0.0408163265306122,-1.2630862415899,-0.994887707167643,-0.742129717218976,-0.877866792668212,-1.66372243999606,-0.729587520712421,-0.702045902075543,-1.503788485399
